2025-03-07 02:00:00,Firewall Rule,Allowed,roberto.lima@pmg.local,100,ACESSO INTERNET REDE DE ACESSO,53,HTTP,Port4.8,Port3.24,36.44.216.9,17.47.111.60,54517,443,TCP,1,Serviço desconhecido,,1
2025-03-07 02:00:01,Firewall Rule,Allowed,ana.santos@pmg.local,101,ACESSO INTERNET REDE DE ACESSO,107,HTTPS,Port5.26,Port1.25,50.216.174.72,49.110.172.27,54094,8080,TCP,2,Acesso externo,,1
2025-03-07 02:00:02,Firewall Rule,Allowed,roberto.lima@pmg.local,102,ACESSO INTERNET REDE DE ACESSO,108,HTTPS,Port2.30,Port7.3,151.150.185.148,59.35.23.170,54233,8080,TCP,1,LDAP Aberto,,1
2025-03-07 02:00:03,Firewall Rule,Allowed,maria.oliveira@pmg.local,103,ACESSO INTERNET REDE DE ACESSO,108,HTTP,Port3.12,Port6.7,181.136.36.156,172.87.125.42,54473,8080,UDP,1,Serviço desconhecido,,1
2025-03-07 02:00:04,Firewall Rule,Allowed,roberto.lima@pmg.local,104,ACESSO INTERNET REDE DE ACESSO,79,Default SNAT IPv4,Port6.13,Port5.3,64.161.108.168,137.202.234.37,54271,80,TCP,2,Serviço desconhecido,,1
2025-03-07 02:00:05,Firewall Rule,Allowed,,105,ACESSO INTERNET REDE DE ACESSO,101,HTTP,Port4.5,Port9.16,33.24.56.40,170.81.216.153,54065,8080,UDP,2,Serviço desconhecido,,1
2025-03-07 02:00:06,Firewall Rule,Allowed,,106,ACESSO INTERNET REDE DE ACESSO,51,Default SNAT IPv4,Port9.25,Port5.25,174.174.57.76,121.80.232.1,54976,443,UDP,1,Serviço desconhecido,,1
2025-03-07 02:00:07,Firewall Rule,Allowed,maria.oliveira@pmg.local,107,ACESSO INTERNET REDE DE ACESSO,114,HTTPS,Port4.5,Port6.25,51.0.165.126,14.57.185.225,54851,8080,TCP,1,LDAP Aberto,,1
2025-03-07 02:00:08,Firewall Rule,Allowed,roberto.lima@pmg.local,108,ACESSO INTERNET REDE DE ACESSO,112,Default SNAT IPv4,Port9.25,Port3.5,178.243.84.68,145.216.108.238,54552,443,TCP,2,Acesso externo,,1
2025-03-07 02:00:09,Firewall Rule,Allowed,joana.pereira@pmg.local,109,ACESSO INTERNET REDE DE ACESSO,116,OpenVPN,Port2.8,Port4.3,96.10.117.151,66.3.36.182,54646,80,TCP,1,LDAP Aberto,,1
2025-03-07 02:00:10,Firewall Rule,Allowed,roberto.lima@pmg.local,110,ACESSO INTERNET REDE DE ACESSO,115,SSH,Port5.22,Port8.7,148.67.242.63,131.208.97.25,54099,443,UDP,2,Acesso externo,,1
2025-03-07 02:00:11,Firewall Rule,Allowed,joana.pereira@pmg.local,111,ACESSO INTERNET REDE DE ACESSO,56,Default SNAT IPv4,Port1.13,Port6.26,37.127.98.49,147.229.71.109,54187,8080,UDP,1,LDAP Aberto,,1
2025-03-07 02:00:12,Firewall Rule,Allowed,,112,ACESSO INTERNET REDE DE ACESSO,62,Default SNAT IPv4,Port9.27,Port1.3,70.85.208.125,133.109.205.232,54060,80,UDP,1,Acesso externo,,1
2025-03-07 02:00:13,Firewall Rule,Allowed,joana.pereira@pmg.local,113,ACESSO INTERNET REDE DE ACESSO,86,OpenVPN,Port9.22,Port8.5,58.151.111.248,24.31.160.15,54051,443,UDP,1,LDAP Aberto,,1
2025-03-07 02:00:14,Firewall Rule,Allowed,ana.santos@pmg.local,114,ACESSO INTERNET REDE DE ACESSO,58,HTTPS,Port2.22,Port4.13,40.126.20.159,30.214.161.240,54267,80,UDP,1,Acesso externo,,1
2025-03-07 02:00:15,Firewall Rule,Allowed,ana.santos@pmg.local,115,ACESSO INTERNET REDE DE ACESSO,88,OpenVPN,Port6.30,Port2.1,127.51.37.138,64.135.67.239,54357,80,TCP,2,Acesso externo,,1
2025-03-07 02:00:16,Firewall Rule,Allowed,joana.pereira@pmg.local,116,ACESSO INTERNET REDE DE ACESSO,119,HTTP,Port10.26,Port9.1,180.153.53.241,44.135.59.228,54109,443,TCP,2,Acesso externo,,1
