timestamp,evento,ação,usuario,cod1,descricao_rede,cod2,nat_policy,porta_saida,porta_entrada,ip_origem,ip_destino,porta_origem,porta_destino,protocolo,flag,label
2025-03-06 06:00:43,Firewall Rule,Allowed,ataque@botnet.local,199.8,VPN CORPORATIVA,161,Ataque NAT,Port10.69,Port9,192.168.29.142,192.168.14.108,56581,80.0,UDP,1,1
2025-03-06 06:00:33,Connection Attempt,Allowed,,17.2,ATAQUE AUTOMATIZADO,149,Ataque NAT,Port18.5,Port43,192.168.29.142,172.26.28.73,16414,38203.0,TCP,0,1
2025-03-06 06:00:08,Alert,Allowed,,100.1,TRÁFEGO SUSPEITO,134,SNAT Temporário,Port37.59,Port37,192.168.29.142,172.20.45.91,18788,3389.0,GRE,0,1
2025-03-06 06:00:03,Connection Attempt,Denied, ,143.42,DDoS DETECTADO,136,SNAT Temporário,Port7.42,Port55,192.168.29.142,192.168.8.45,40170,5900.0,ICMP,1,1
2025-03-06 06:00:07,Alert,Allowed,scan@rogue.dev,44.94,TRÁFEGO SUSPEITO,181,Ataque NAT,Port31.24,Port7,192.168.29.142,192.168.45.233,48866,25.0,GRE,0,1
2025-03-06 06:00:26,Firewall Rule,Denied,usuario@pmg.local,190.52,COMUNICAÇÃO EXTERNA,217,Sem NAT,Port38.43,Port5,192.168.29.142,172.16.221.246,22758,80.0,IGMP,0,1
2025-03-06 06:00:07,Connection Attempt,Allowed,ataque@botnet.local,104.18,ACESSO INTERNET REDE DE ACESSO,85,Double NAT,Port35.42,Port59,192.168.29.142,172.26.45.39,52223,52103.0,IGMP,1,1
2025-03-06 06:00:08,Alert,Denied,,281.72,ACESSO INTERNET REDE DE ACESSO,281,Ataque NAT,Port4.79,Port12,192.168.29.142,172.31.248.170,59891,110.0,IGMP,0,1
2025-03-06 06:00:18,Connection Attempt,Denied, ,222.08,ACESSO INTERNET REDE DE ACESSO,129,Double NAT,Port11.96,Port49,192.168.29.142,10.57.115.49,12611,110.0,UDP,1,1
2025-03-06 06:00:21,Firewall Rule,Denied,usuario@pmg.local,96.63,VARREDURA DE PORTAS,57,Default SNAT IPv4,Port28.63,Port34,192.168.29.142,192.168.49.113,16099,443.0,ICMP,0,1
2025-03-06 06:00:37,Alert,Denied, ,119.31,TRÁFEGO INTERNO,203,Bypass,Port31.95,Port31,192.168.29.142,10.38.216.152,15284,80.0,ICMP,0,1
2025-03-06 06:00:20,Firewall Rule,Dropped,,74.38,ACESSO INTERNET REDE DE ACESSO,289,Default SNAT IPv4,Port7.87,Port7,192.168.29.142,192.168.2.198,44203,110.0,ESP,1,1
2025-03-06 06:00:25,Alert,Dropped,,296.81,COMUNICAÇÃO EXTERNA,97,SNAT Temporário,Port25.10,Port53,192.168.29.142,172.18.23.104,59573,53.0,GRE,0,1
2025-03-06 06:00:53,Firewall Rule,Dropped,admin@pmg.local,257.44,TENTATIVA DE EXPLOIT,125,Ataque NAT,Port3.9,Port32,192.168.29.142,192.168.104.242,22006,5900.0,TCP,0,1
2025-03-06 06:00:10,Connection Attempt,Allowed,admin@pmg.local,29.27,TRÁFEGO SUSPEITO,108,SNAT Temporário,Port27.5,Port33,192.168.29.142,192.168.151.109,37792,3306.0,TCP,0,1
2025-03-06 06:00:07,Firewall Rule,Denied,,10.79,VPN CORPORATIVA,128,Default SNAT IPv4,Port13.88,Port21,192.168.29.142,172.24.59.55,12303,20855.0,TCP,1,1
2025-03-06 06:00:57,Alert,Denied,usuario@pmg.local,196.79,VPN CORPORATIVA,165,Bypass,Port6.5,Port43,192.168.29.142,10.31.19.92,52882,110.0,IGMP,1,1
2025-03-06 06:00:29,Connection Attempt,Dropped,usuario@pmg.local,163.48,VARREDURA DE PORTAS,108,Sem NAT,Port13.55,Port17,192.168.29.142,172.19.14.97,65029,80.0,UDP,0,1
2025-03-06 06:00:08,Connection Attempt,Dropped,ataque@botnet.local,177.39,ACESSO INTERNET REDE DE ACESSO,277,Double NAT,Port40.32,Port54,192.168.29.142,192.168.163.112,44414,22.0,TCP,0,1
2025-03-06 06:00:11,Alert,Denied,usuario@pmg.local,236.92,ACESSO INTERNET REDE DE ACESSO,108,Bypass,Port28.20,Port2,192.168.29.142,10.253.143.135,17077,5900.0,GRE,0,1
2025-03-06 06:00:18,Connection Attempt,Denied,admin@pmg.local,212.67,TENTATIVA DE EXPLOIT,67,Sem NAT,Port28.85,Port24,192.168.239.236,192.168.192.234,48411,3389.0,GRE,1,1
2025-03-06 06:00:14,Alert,Blocked,ataque@botnet.local,194.46,DDoS DETECTADO,134,Double NAT,Port23.83,Port43,192.168.239.236,172.29.181.133,28159,3306.0,TCP,1,1
2025-03-06 06:00:54,Firewall Rule,Dropped,,68.18,TRÁFEGO INTERNO,62,Sem NAT,Port35.12,Port41,192.168.239.236,192.168.2.198,24487,53.0,ESP,1,1
2025-03-06 06:00:00,Alert,Allowed,exploit@malware.org,170.54,TRÁFEGO SUSPEITO,251,Ataque NAT,Port12.9,Port3,192.168.239.236,10.75.40.75,22372,3389.0,UDP,1,1
2025-03-06 06:00:48,Alert,Dropped,admin@pmg.local,82.11,VPN CORPORATIVA,78,Bypass,Port28.93,Port14,192.168.239.236,10.38.90.19,42203,25.0,TCP,1,1
2025-03-06 06:00:18,Connection Attempt,Allowed,usuario@pmg.local,20.1,VPN CORPORATIVA,150,Bypass,Port2.16,Port35,192.168.239.236,10.181.91.137,27916,3389.0,ICMP,1,1
2025-03-06 06:00:34,Firewall Rule,Denied, ,181.17,ACESSO INTERNET REDE DE ACESSO,299,SNAT Temporário,Port35.59,Port35,192.168.239.236,192.168.220.20,35164,9735.0,TCP,1,1
2025-03-06 06:00:20,Firewall Rule,Allowed,exploit@malware.org,117.96,ACESSO INTERNET REDE DE ACESSO,299,Double NAT,Port7.84,Port18,192.168.239.236,172.22.226.17,56763,5900.0,IGMP,1,1
2025-03-06 06:00:33,Firewall Rule,Denied,scan@rogue.dev,50.24,ACESSO INTERNET REDE DE ACESSO,190,Default SNAT IPv4,Port32.76,Port38,192.168.239.236,10.155.14.254,50053,5900.0,IGMP,0,1
2025-03-06 06:00:08,Alert,Allowed,exploit@malware.org,162.71,ACESSO INTERNET REDE DE ACESSO,280,Default SNAT IPv4,Port2.54,Port17,192.168.239.236,192.168.232.15,57722,22.0,ESP,0,1
2025-03-06 06:00:03,Connection Attempt,Blocked,admin@pmg.local,294.06,ACESSO INTERNET REDE DE ACESSO,148,Bypass,Port13.97,Port16,192.168.239.236,172.31.199.61,27983,110.0,ESP,1,1
2025-03-06 06:00:57,Connection Attempt,Blocked,admin@pmg.local,239.4,DDoS DETECTADO,239,Ataque NAT,Port40.97,Port11,192.168.239.236,192.168.46.246,1257,25.0,ESP,0,1
2025-03-06 06:00:10,Alert,Denied,ataque@botnet.local,114.79,TRÁFEGO SUSPEITO,115,Double NAT,Port11.39,Port13,192.168.239.236,192.168.42.89,39878,53.0,TCP,1,1
2025-03-06 06:00:28,Connection Attempt,Dropped,usuario@pmg.local,221.58,VARREDURA DE PORTAS,239,Default SNAT IPv4,Port10.1,Port52,192.168.239.236,172.27.5.231,48353,22.0,UDP,0,1
2025-03-06 06:00:32,Alert,Denied, ,199.37,DDoS DETECTADO,132,Ataque NAT,Port19.1,Port4,192.168.239.236,172.21.54.42,47669,3389.0,GRE,1,1
2025-03-06 06:00:46,Firewall Rule,Dropped,,242.53,VPN CORPORATIVA,128,Default SNAT IPv4,Port17.41,Port14,192.168.239.236,10.115.206.148,13397,25.0,ICMP,0,1
2025-03-06 06:00:06,Alert,Denied,exploit@malware.org,278.22,TENTATIVA DE EXPLOIT,292,SNAT Temporário,Port28.83,Port20,172.23.104.165,192.168.125.155,18524,3306.0,ESP,0,1
2025-03-06 06:00:48,Alert,Allowed,scan@rogue.dev,130.57,VPN CORPORATIVA,281,Bypass,Port26.48,Port30,172.23.104.165,10.54.69.156,64950,25.0,IGMP,1,1
2025-03-06 06:00:37,Firewall Rule,Denied,root@compromised.dev,162.91,COMUNICAÇÃO EXTERNA,163,Bypass,Port1.48,Port15,172.23.104.165,10.78.121.123,52255,22.0,IGMP,1,1
2025-03-06 06:00:16,Alert,Denied,,295.14,VPN CORPORATIVA,80,SNAT Temporário,Port39.44,Port5,172.23.104.165,172.28.30.14,59123,3306.0,UDP,1,1
2025-03-06 06:00:59,Connection Attempt,Allowed,usuario@pmg.local,119.66,COMUNICAÇÃO EXTERNA,146,Default SNAT IPv4,Port17.44,Port28,172.23.104.165,10.173.225.238,37386,25.0,ESP,0,1
2025-03-06 06:00:51,Connection Attempt,Blocked,admin@pmg.local,146.57,COMUNICAÇÃO EXTERNA,84,SNAT Temporário,Port40.94,Port28,172.23.104.165,172.18.238.249,59225,110.0,ESP,1,1
2025-03-06 06:00:14,Firewall Rule,Allowed,admin@pmg.local,176.8,ACESSO INTERNET REDE DE ACESSO,159,Bypass,Port10.95,Port16,172.23.104.165,172.29.165.165,1101,22.0,IGMP,0,1
2025-03-06 06:00:56,Alert,Blocked,usuario@pmg.local,271.35,ACESSO INTERNET REDE DE ACESSO,101,SNAT Temporário,Port16.10,Port59,172.23.104.165,172.23.249.240,10211,3389.0,GRE,0,1
2025-03-06 06:00:50,Connection Attempt,Denied,scan@rogue.dev,25.76,TRÁFEGO SUSPEITO,96,Bypass,Port6.51,Port11,172.23.104.165,172.19.171.235,49271,110.0,GRE,1,1
2025-03-06 06:00:06,Alert,Dropped,,174.3,ATAQUE AUTOMATIZADO,158,Double NAT,Port30.89,Port20,172.23.104.165,192.168.198.86,14832,80.0,UDP,1,1
2025-03-06 06:00:02,Connection Attempt,Blocked,scan@rogue.dev,187.56,VPN CORPORATIVA,105,SNAT Temporário,Port5.31,Port51,172.23.104.165,10.112.56.248,32154,3389.0,ICMP,0,1
2025-03-06 06:00:15,Firewall Rule,Denied,ataque@botnet.local,16.47,VARREDURA DE PORTAS,115,Default SNAT IPv4,Port13.45,Port28,172.23.104.165,10.103.57.1,56730,35583.0,UDP,1,1
2025-03-06 06:00:05,Alert,Blocked,,109.55,DDoS DETECTADO,195,Default SNAT IPv4,Port25.16,Port9,172.23.104.165,192.168.242.49,61114,443.0,GRE,0,1
2025-03-06 06:00:53,Alert,Blocked,exploit@malware.org,104.73,ATAQUE AUTOMATIZADO,212,Double NAT,Port4.72,Port2,172.23.104.165,172.30.198.173,27605,110.0,GRE,0,1
2025-03-06 06:00:19,Firewall Rule,Denied,root@compromised.dev,259.36,ATAQUE AUTOMATIZADO,177,Ataque NAT,Port13.56,Port9,172.23.104.165,10.91.200.74,9760,80.0,GRE,1,1
2025-03-06 06:00:08,Connection Attempt,Denied,admin@pmg.local,220.51,COMUNICAÇÃO EXTERNA,151,Double NAT,Port8.51,Port45,172.23.104.165,172.16.3.132,31427,5900.0,IGMP,1,1
2025-03-06 06:00:59,Firewall Rule,Blocked,ataque@botnet.local,32.32,DDoS DETECTADO,113,Bypass,Port35.69,Port14,172.23.104.165,172.19.66.136,26039,5900.0,IGMP,1,1
2025-03-06 06:00:48,Firewall Rule,Dropped,root@compromised.dev,108.34,VPN CORPORATIVA,85,Default SNAT IPv4,Port15.99,Port56,172.23.104.165,10.206.28.123,30001,3389.0,ICMP,0,1
2025-03-06 06:00:22,Connection Attempt,Blocked, ,220.52,COMUNICAÇÃO EXTERNA,271,Double NAT,Port39.64,Port11,172.23.104.165,172.27.198.117,47664,22.0,ICMP,1,1
2025-03-06 06:00:46,Alert,Denied,,68.79,ACESSO INTERNET REDE DE ACESSO,184,SNAT Temporário,Port27.60,Port48,172.23.104.165,192.168.113.241,24677,110.0,ICMP,0,1
2025-03-06 06:00:12,Firewall Rule,Dropped,,274.49,TRÁFEGO SUSPEITO,168,Sem NAT,Port26.42,Port19,172.23.104.165,192.168.141.1,58350,53.0,TCP,1,1
2025-03-06 06:00:21,Alert,Dropped,,43.67,VARREDURA DE PORTAS,268,Default SNAT IPv4,Port3.15,Port2,172.23.104.165,172.19.95.227,14637,3389.0,UDP,1,1
2025-03-06 06:00:29,Firewall Rule,Allowed,usuario@pmg.local,269.95,DDoS DETECTADO,156,Bypass,Port5.99,Port26,172.23.104.165,10.126.16.223,31251,53.0,GRE,0,1
2025-03-06 06:00:35,Alert,Denied,root@compromised.dev,234.89,DDoS DETECTADO,51,Double NAT,Port34.4,Port60,172.23.104.165,10.177.126.158,21031,3306.0,UDP,0,1
2025-03-06 06:00:47,Alert,Dropped, ,130.65,VARREDURA DE PORTAS,183,Sem NAT,Port4.35,Port43,172.23.104.165,10.210.250.33,22117,22.0,UDP,1,1
2025-03-06 06:00:04,Alert,Denied,exploit@malware.org,165.25,ACESSO INTERNET REDE DE ACESSO,103,SNAT Temporário,Port33.29,Port19,172.23.104.165,10.24.101.116,63698,25.0,GRE,0,1
2025-03-06 06:00:07,Connection Attempt,Dropped,usuario@pmg.local,238.51,TRÁFEGO INTERNO,264,Default SNAT IPv4,Port3.43,Port12,172.23.104.165,10.59.155.167,48914,3306.0,TCP,0,1
2025-03-06 06:00:05,Alert,Blocked,,76.21,ATAQUE AUTOMATIZADO,141,Default SNAT IPv4,Port37.52,Port8,172.23.104.165,172.21.183.196,50083,6273.0,ESP,1,1
2025-03-06 06:00:45,Alert,Blocked,admin@pmg.local,198.79,TRÁFEGO SUSPEITO,185,Sem NAT,Port27.80,Port22,172.23.104.165,192.168.84.99,28959,25.0,UDP,0,1
2025-03-06 06:00:51,Firewall Rule,Dropped,,210.51,TRÁFEGO INTERNO,94,Bypass,Port14.45,Port8,172.23.104.165,172.17.202.90,22600,53.0,ESP,0,1
2025-03-06 06:00:17,Alert,Allowed,admin@pmg.local,216.89,DDoS DETECTADO,185,Ataque NAT,Port20.24,Port25,172.23.104.165,172.29.179.65,36301,53.0,ESP,1,1
2025-03-06 06:00:47,Alert,Blocked,,282.96,DDoS DETECTADO,231,Ataque NAT,Port39.16,Port51,172.23.104.165,192.168.167.178,59978,5900.0,TCP,0,1
2025-03-06 06:00:04,Alert,Dropped,scan@rogue.dev,238.37,VARREDURA DE PORTAS,122,Bypass,Port7.9,Port33,172.23.104.165,10.54.69.156,17441,53479.0,IGMP,0,1
2025-03-06 06:00:53,Connection Attempt,Allowed,root@compromised.dev,236.18,VARREDURA DE PORTAS,193,Bypass,Port26.58,Port49,172.23.104.165,172.26.250.105,64039,47251.0,GRE,0,1
2025-03-06 06:00:15,Connection Attempt,Allowed,usuario@pmg.local,119.47,TRÁFEGO INTERNO,183,SNAT Temporário,Port31.82,Port11,172.23.104.165,10.146.96.223,58378,33727.0,GRE,0,1
2025-03-06 06:00:40,Connection Attempt,Allowed,ataque@botnet.local,280.18,ATAQUE AUTOMATIZADO,224,Sem NAT,Port38.14,Port12,172.23.104.165,192.168.221.42,6382,53.0,ICMP,0,1
2025-03-06 06:00:20,Alert,Allowed,,248.82,VPN CORPORATIVA,131,SNAT Temporário,Port20.63,Port44,172.23.104.165,10.239.150.232,17568,110.0,UDP,0,1
